"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","question_order","slider_start","image_path","practiceTrial","practiceTrialNum","correct","concept"
"","","","","","html-slider-response","115","400428","0.0-111.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_10.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-121","","0","images/gray_10.png","","","","calm"
"","","","","","html-slider-response","116","403089","0.0-112.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_24.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-200","","0","images/gray_24.png","","","","calm"
"","","","","","html-slider-response","117","405033","0.0-113.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_41.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-200","","0","images/gray_41.png","","","","calm"
"","","","","","html-slider-response","118","407561","0.0-114.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_36.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-200","","0","images/gray_36.png","","","","calm"
"","","","","","html-slider-response","119","411193","0.0-115.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_40.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-93","","0","images/gray_40.png","","","","calm"
"","","","","","html-slider-response","120","413505","0.0-116.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_33.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-200","","0","images/gray_33.png","","","","calm"
"","","","","","html-slider-response","121","415986","0.0-117.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_27.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","26","","0","images/gray_27.png","","","","calm"
"","","","","","html-slider-response","122","420228","0.0-118.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_13.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","93","","0","images/gray_13.png","","","","calm"
"","","","","","html-slider-response","123","422375","0.0-119.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_07.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","22","","0","images/gray_07.png","","","","calm"
"","","","","","html-slider-response","124","425191","0.0-120.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_22.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-60","","0","images/gray_22.png","","","","calm"
"","","","","","html-slider-response","125","428842","0.0-121.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_34.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-22","","0","images/gray_34.png","","","","calm"
"","","","","","html-slider-response","126","431239","0.0-122.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_19.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","34","","0","images/gray_19.png","","","","calm"
"","","","","","html-slider-response","127","433157","0.0-123.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_16.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","38","","0","images/gray_16.png","","","","calm"
"","","","","","html-slider-response","128","435492","0.0-124.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_23.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-114","","0","images/gray_23.png","","","","calm"
"","","","","","html-slider-response","129","439727","0.0-125.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_31.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-25","","0","images/gray_31.png","","","","calm"
"","","","","","html-slider-response","130","442241","0.0-126.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_12.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-56","","0","images/gray_12.png","","","","calm"
"","","","","","html-slider-response","131","444151","0.0-127.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_35.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-102","","0","images/gray_35.png","","","","calm"
"","","","","","html-slider-response","132","446772","0.0-128.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_18.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-126","","0","images/gray_18.png","","","","calm"
"","","","","","html-slider-response","133","448656","0.0-129.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_09.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-82","","0","images/gray_09.png","","","","calm"
"","","","","","html-slider-response","134","450777","0.0-130.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_15.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","50","","0","images/gray_15.png","","","","calm"
"","","","","","html-slider-response","135","454826","0.0-131.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_21.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-200","","0","images/gray_21.png","","","","calm"
"","","","","","html-slider-response","136","456645","0.0-132.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_37.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-200","","0","images/gray_37.png","","","","calm"
"","","","","","html-slider-response","137","458760","0.0-133.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_05.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-194","","0","images/gray_05.png","","","","calm"
"","","","","","html-slider-response","138","460800","0.0-134.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_42.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","51","","0","images/gray_42.png","","","","calm"
"","","","","","html-slider-response","139","462998","0.0-135.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_26.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-94","","0","images/gray_26.png","","","","calm"
"","","","","","html-slider-response","140","465502","0.0-136.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_38.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","36","","0","images/gray_38.png","","","","calm"
"","","","","","html-slider-response","141","467234","0.0-137.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_20.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-200","","0","images/gray_20.png","","","","calm"
"","","","","","html-slider-response","142","470807","0.0-138.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_17.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-21","","0","images/gray_17.png","","","","calm"
"","","","","","html-slider-response","143","472936","0.0-139.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_11.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","30","","0","images/gray_11.png","","","","calm"
"","","","","","html-slider-response","144","475222","0.0-140.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_29.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-114","","0","images/gray_29.png","","","","calm"
"","","","","","html-slider-response","145","477924","0.0-141.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_01.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-127","","0","images/gray_01.png","","","","calm"
"","","","","","html-slider-response","146","480668","0.0-142.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_44.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-98","","0","images/gray_44.png","","","","calm"
"","","","","","html-slider-response","147","488084","0.0-143.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_14.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-148","","0","images/gray_14.png","","","","calm"
"","","","","","html-slider-response","148","490256","0.0-144.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_25.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","28","","0","images/gray_25.png","","","","calm"
"","","","","","html-slider-response","149","491993","0.0-145.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_43.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-28","","0","images/gray_43.png","","","","calm"
"","","","","","html-slider-response","150","494042","0.0-146.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_02.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","21","","0","images/gray_02.png","","","","calm"
"","","","","","html-slider-response","151","496311","0.0-147.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_03.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-33","","0","images/gray_03.png","","","","calm"
"","","","","","html-slider-response","152","498261","0.0-148.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_08.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","25","","0","images/gray_08.png","","","","calm"
"","","","","","html-slider-response","153","500934","0.0-149.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >calm</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_39.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","160","","0","images/gray_39.png","","","","calm"
"","","","","","html-button-response","154","502552","0.0-150.0","9uuq3752h7","1116","<p>Great Job! You've finished block 3.<br></br> You have 5 block(s) left to go.<br></br></p>","0","","","","","","",""
"","","","","","html-button-response","155","512079","0.0-151.0","9uuq3752h7","9526","<p>In this block of trials, you will be asked to rate how much you associate each map with:</p > <p style = 'font-size:150%; font-weight: bold'>negative</p><br></br>","0","","","","","","",""
"","","","","","html-slider-response","156","515240","0.0-152.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_34.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-200","","0","images/gray_34.png","","","","negative"
"","","","","","html-slider-response","157","519002","0.0-153.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_13.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-34","","0","images/gray_13.png","","","","negative"
"","","","","","html-slider-response","158","521189","0.0-154.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_29.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","103","","0","images/gray_29.png","","","","negative"
"","","","","","html-slider-response","159","523180","0.0-155.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_24.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-35","","0","images/gray_24.png","","","","negative"
"","","","","","html-slider-response","160","525401","0.0-156.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_28.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","86","","0","images/gray_28.png","","","","negative"
"","","","","","html-slider-response","161","528835","0.0-157.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_37.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-56","","0","images/gray_37.png","","","","negative"
"","","","","","html-slider-response","162","530933","0.0-158.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_18.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-132","","0","images/gray_18.png","","","","negative"
"","","","","","html-slider-response","163","533111","0.0-159.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_21.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","200","","0","images/gray_21.png","","","","negative"
"","","","","","html-slider-response","164","534923","0.0-160.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_14.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","200","","0","images/gray_14.png","","","","negative"
"","","","","","html-slider-response","165","537126","0.0-161.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_26.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","131","","0","images/gray_26.png","","","","negative"
"","","","","","html-slider-response","166","538962","0.0-162.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_04.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-74","","0","images/gray_04.png","","","","negative"
"","","","","","html-slider-response","167","541859","0.0-163.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_30.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-143","","0","images/gray_30.png","","","","negative"
"","","","","","html-slider-response","168","544432","0.0-164.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_06.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-56","","0","images/gray_06.png","","","","negative"
"","","","","","html-slider-response","169","546421","0.0-165.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_12.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-200","","0","images/gray_12.png","","","","negative"
"","","","","","html-slider-response","170","548462","0.0-166.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_42.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-200","","0","images/gray_42.png","","","","negative"
"","","","","","html-slider-response","171","551084","0.0-167.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_05.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-200","","0","images/gray_05.png","","","","negative"
"","","","","","html-slider-response","172","553342","0.0-168.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_35.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-92","","0","images/gray_35.png","","","","negative"
"","","","","","html-slider-response","173","558893","0.0-169.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_22.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-72","","0","images/gray_22.png","","","","negative"
"","","","","","html-slider-response","174","562297","0.0-170.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_03.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-45","","0","images/gray_03.png","","","","negative"
"","","","","","html-slider-response","175","564092","0.0-171.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_09.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-200","","0","images/gray_09.png","","","","negative"
"","","","","","html-slider-response","176","565928","0.0-172.0","9uuq3752h7","NaN","<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >negative</p>
                            <div style=""width:240px; margin: auto;"">
                                <img src=""images/gray_23.png"" style= ""width:200px""alt=""img"">
                            </div>
                        </div>","-29","","0","images/gray_23.png","","","","negative"
